Image Name,PNG Size,CRDR Beta 0.0,CRDR Beta 0.64,CRDR Beta 1.28,CRDR Beta 2.56,CRDR Beta 3.84,CRDR Beta 5.12,HiFiC-Med,Hyperprior,JPEG Quality 70,JPEG Quality 50,MRIC Beta 0.0,MRIC Beta 2.56
0462.png,4925039.0,3968744.0,4337017.0,4398871.0,4561426.0,4716657.0,4860646.0,4359367.0,3592259.0,3752637.0,3399383.0,4937318.0,5751311.0
0463.png,5268534.0,4870063.0,4979555.0,5020728.0,5134204.0,5279098.0,5456505.0,5180433.0,4739379.0,5255339.0,5013386.0,5699038.0,6143399.0
0464.png,4326232.0,3534997.0,3900533.0,3961527.0,4137517.0,4328598.0,4513741.0,3998638.0,3112781.0,3663712.0,3312471.0,4150199.0,5023430.0
0465.png,3617939.0,3102584.0,3274350.0,3314813.0,3439917.0,3587646.0,3736315.0,3450119.0,2986169.0,3398047.0,3222209.0,3827420.0,4202023.0
0466.png,4709010.0,3816054.0,4151573.0,4216888.0,4393137.0,4591509.0,4800014.0,4479564.0,3587681.0,3987104.0,3551234.0,4918713.0,5586270.0
0467.png,3641080.0,2756995.0,3159321.0,3229629.0,3418252.0,3589383.0,3774969.0,3359382.0,2429748.0,2432634.0,2047316.0,3625429.0,4212192.0
0468.png,4234082.0,3475177.0,3801222.0,3857784.0,4020087.0,4202865.0,4388617.0,3977663.0,3271364.0,3594839.0,3266976.0,4358647.0,4924295.0
0469.png,3407460.0,2422188.0,2820868.0,2894191.0,3105835.0,3307384.0,3495716.0,3022367.0,2197249.0,1955457.0,1721849.0,3726534.0,4064624.0
0470.png,5491266.0,4673336.0,4919937.0,4982386.0,5148808.0,5349188.0,5536147.0,5062440.0,4082219.0,4820094.0,4222989.0,4727886.0,6164124.0
0471.png,5264198.0,4226529.0,4794147.0,4891442.0,5110282.0,5314036.0,5484352.0,4775089.0,3820708.0,4670621.0,4338097.0,5144446.0,6005917.0
0472.png,4453981.0,3473675.0,3824290.0,3892453.0,4089922.0,4302246.0,4502329.0,4054878.0,3193246.0,3745402.0,3450111.0,4179281.0,4915310.0
0473.png,3822039.0,3173891.0,3647701.0,3720778.0,3935287.0,4150627.0,4367349.0,3923006.0,2887706.0,2875453.0,2457330.0,4144747.0,4821026.0
0474.png,3659351.0,2691188.0,3099138.0,3174009.0,3385613.0,3591796.0,3784293.0,3388209.0,2559120.0,2534386.0,2200064.0,3925247.0,4264169.0
0475.png,4480536.0,3613797.0,3919751.0,3985632.0,4174071.0,4370375.0,4553020.0,4025846.0,3341349.0,3523629.0,3122674.0,4372783.0,5058590.0
0476.png,5002196.0,4632156.0,4914695.0,4965530.0,5107025.0,5251288.0,5400481.0,4750679.0,4210477.0,4574916.0,4243970.0,5048208.0,5769047.0
0477.png,4630139.0,3649057.0,4029986.0,4099812.0,4304123.0,4529841.0,4751587.0,4295192.0,3503497.0,3689444.0,3393995.0,4753964.0,5206408.0
0478.png,4453567.0,4283810.0,4512068.0,4562482.0,4704579.0,4845133.0,4981061.0,4498523.0,3812915.0,3610699.0,3311813.0,5049881.0,5660303.0
0479.png,4654026.0,3866392.0,4122545.0,4172533.0,4344783.0,4555028.0,4728785.0,4259279.0,3741117.0,4194282.0,4030740.0,4574514.0,4996071.0
0480.png,3520541.0,2605593.0,3037762.0,3114651.0,3310833.0,3472788.0,3627163.0,3245485.0,2366238.0,2385758.0,1985382.0,3494947.0,4049359.0
